Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
0.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00934.MTS,332.290,25.0,2,w,,,POINT
0.240,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00934.MTS,332.290,25.0,1,w,,,POINT
10.200,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00934.MTS,332.290,25.0,1,w,,,POINT
14.160,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00934.MTS,332.290,25.0,2,w,,,POINT
20.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00934.MTS,332.290,25.0,3,w,,,POINT
27.960,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00934.MTS,332.290,25.0,3,w,,,POINT
