Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,1,w,,,POINT
4.200,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,2,w,,,POINT
17.560,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,1,w,,,POINT
43.800,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,2,w,,,POINT
48.120,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,3,w,,,POINT
62.840,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,3,w,,,POINT
95.400,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,4,w,,,POINT
118.840,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,5,w,,,POINT
120.520,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,4,w,,,POINT
144.680,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,5,w,,,POINT
193.800,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,6,w,,,POINT
214.600,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,6,w,,,POINT
240.680,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,7,w,,,POINT
265.400,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00941.MTS,300.060,25.0,7,w,,,POINT
