Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,1,w,,,POINT
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,3,w,,,POINT
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,4,w,,,POINT
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,8,w,,,POINT
0.160,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,9,w,,,POINT
2.520,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,2,w,,,POINT
10.640,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,8,w,,,POINT
11.120,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,5,w,,,POINT
14.600,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,4,w,,,POINT
14.680,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,1,w,,,POINT
15.280,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,3,w,,,POINT
17.760,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,9,w,,,POINT
18.440,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,6,w,,,POINT
22.720,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,2,w,,,POINT
25.920,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,10,w,,,POINT
36.760,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,10,w,,,POINT
37.120,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,5,w,,,POINT
46.640,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,6,w,,,POINT
50.800,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,7,w,,,POINT
73.240,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,7,w,,,POINT
74.440,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,11,w,,,POINT
80.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,11,w,,,POINT
106.880,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,13,w,,,POINT
147.120,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,12,w,,,POINT
161.160,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,12,w,,,POINT
171.880,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00938.MTS,299.010,25.0,13,w,,,POINT
