Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,1,w,,,POINT
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,2,w,,,POINT
0.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,5,w,,,POINT
18.200,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,1,w,,,POINT
23.240,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,2,w,,,POINT
23.880,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,5,w,,,POINT
23.960,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,3,w,,,POINT
36.200,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,4,w,,,POINT
52.280,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,4,w,,,POINT
56.640,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,4,w,,,POINT
60.320,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,6,w,,,POINT
62.840,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,6,w,,,POINT
69.600,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,4,w,,,POINT
72.600,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,6,w,,,POINT
116.840,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,7,w,,,POINT
147.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00937.MTS,331.260,25.0,7,w,,,POINT
