Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
118.960,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,3,w,,,POINT
135.560,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,3,w,,,POINT
142.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,1,w,,,POINT
147.960,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,1,w,,,POINT
147.960,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,2,w,,,POINT
166.800,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,2,w,,,POINT
205.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,3,w,,,POINT
224.920,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,3,w,,,POINT
235.880,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,4,w,,,POINT
247.480,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,4,w,,,POINT
256.680,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,4,w,,,POINT
261.000,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181215/00935.MTS,288.100,25.0,4,w,,,POINT
