Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
21.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,3,w,,,POINT
39.720,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,4,w,,,POINT
44.440,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,3,w,,,POINT
47.160,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,1,w,,,POINT
47.240,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,2,w,,,POINT
62.200,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,4,w,,,POINT
74.280,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,2,w,,,POINT
92.400,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,4,w,,,POINT
205.040,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,5,w,,,POINT
231.640,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,5,w,,,POINT
258.000,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,6,w,,,POINT
267.600,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,6,w,,,POINT
269.160,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,7,w,,,POINT
280.120,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,7,w,,,POINT
298.480,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,8,w,,,POINT
310.080,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00940.MTS,310.460,25.0,8,w,,,POINT
